N;Logo;Channel;Watch time (mins);Stream time (mins);Peak viewers;Average viewers;Followers;Partnered;Mature;Language;mes;anyo
27;https://static-cdn.jtvnw.net/jtv_user_pictures/b56cdc10-9bee-4d4b-9485-45c4ec5416ae-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;castatw;3705;120;41;31;6070;true;false;Spanish;8;2020
28;https://static-cdn.jtvnw.net/jtv_user_pictures/26792668-f0af-4bdf-8236-a13c8678ce72-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Leonishiki;3465;645;15;5;184;false;false;Spanish;8;2020
29;https://static-cdn.jtvnw.net/jtv_user_pictures/2771d73a-5380-43c6-96c0-a890bae114b1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Lenin5ds;3285;435;14;8;81;false;false;Spanish;8;2020
30;https://static-cdn.jtvnw.net/jtv_user_pictures/139865ee-bb3e-4e6f-8749-08aeaecb2af3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;romeror10gaming;3105;30;125;104;2203;false;false;Spanish;8;2020
31;https://static-cdn.jtvnw.net/jtv_user_pictures/14b8c8bf-8cf6-404d-8716-c8713ed6deff-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;elprofepaa;3060;390;13;8;49;false;false;Spanish;8;2020
32;https://static-cdn.jtvnw.net/jtv_user_pictures/de24d171-2c63-4b92-8da8-b39b262776ce-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100;vikandroll;3000;210;20;14;1148;false;true;Spanish;8;2020
33;https://static-cdn.jtvnw.net/jtv_user_pictures/abb3c4a6-d524-42f9-89d1-410a53515e67-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Nahu1009;2910;300;16;10;63;false;false;Spanish;8;2020
34;https://static-cdn.jtvnw.net/jtv_user_pictures/8939e97a-ebb1-43e8-8eba-b47261ba68eb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;lena_zumba;2895;450;14;6;155;false;false;Spanish;8;2020
35;https://static-cdn.jtvnw.net/jtv_user_pictures/58a64d8a-092b-43e6-ac61-ecff95ade603-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;pulevicas;2685;195;21;14;1342;false;true;Spanish;8;2020
36;https://static-cdn.jtvnw.net/jtv_user_pictures/5be276bd-723d-46c2-8b9d-098f275d613d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;TurnHeelWrestling;2445;180;20;14;217;false;false;Spanish;8;2020
37;https://static-cdn.jtvnw.net/jtv_user_pictures/159d0a34-3f8c-4548-b2b9-04c5c988f494-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;gonofam;2385;15;159;159;4289;false;false;Spanish;8;2020
38;https://static-cdn.jtvnw.net/jtv_user_pictures/46e24749-eeb1-4c05-a83a-6292682e24c7-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100;AlinaOverpowered;2340;255;15;9;1038;false;false;Spanish;8;2020
39;https://static-cdn.jtvnw.net/jtv_user_pictures/edb9c346-c1f7-4410-ac93-9dfd50576d12-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Papintox27;2325;45;54;52;7436;true;false;Spanish;8;2020
40;https://static-cdn.jtvnw.net/jtv_user_pictures/4b7100f1-cd59-4a06-bbd6-1a5a5ac20249-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100;marianabaile;2190;180;19;12;348;false;false;Spanish;8;2020
41;https://static-cdn.jtvnw.net/jtv_user_pictures/82e0b8cf-a8d4-45af-b4ef-bef0b466b4de-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;ptpgamers;1995;240;15;8;90;false;false;Spanish;8;2020
42;https://static-cdn.jtvnw.net/jtv_user_pictures/ed617526-1957-428d-9c92-6f8e56ace953-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;comotelocuento;1995;195;18;10;1252;false;false;Spanish;8;2020
43;https://static-cdn.jtvnw.net/jtv_user_pictures/18e77f21-7b32-4500-bb40-99dbef0451ff-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Not_Gazz;1860;75;73;25;160;false;false;Spanish;8;2020
44;https://static-cdn.jtvnw.net/jtv_user_pictures/3f842951-22ed-4094-81fb-df08b618932d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;rukawa21;1515;150;13;10;101;false;true;Spanish;8;2020
45;https://static-cdn.jtvnw.net/jtv_user_pictures/fdf294f4-4c51-4c7e-ae68-6f34788cce43-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;dynland;1500;120;17;13;892;false;false;Spanish;8;2020
46;https://static-cdn.jtvnw.net/jtv_user_pictures/ea6ca6e6-79df-4298-8f9c-42bd12eab751-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Eduyuguero;1350;180;11;8;84;false;false;Spanish;8;2020
47;https://static-cdn.jtvnw.net/jtv_user_pictures/ea051cfd-4158-4ae9-bda9-b1fc2cddc27c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;NightWolf_03;1290;135;18;10;205;false;false;Spanish;8;2020
48;https://static-cdn.jtvnw.net/jtv_user_pictures/174b917a-170c-481f-90ea-6f3fdd009717-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;laprofekido;1200;225;13;5;580;false;false;Spanish;8;2020
49;https://static-cdn.jtvnw.net/jtv_user_pictures/c94a2c3f-eaf1-45f8-b981-7e0be4f76fe8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;jorkhernandez;1185;195;9;6;92;false;false;Spanish;8;2020
50;https://static-cdn.jtvnw.net/jtv_user_pictures/6a5a6e6a-5bc2-46e9-bbdf-8783b6460781-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;chumberoloco01;1155;60;45;19;10;false;false;Spanish;8;2020
51;https://static-cdn.jtvnw.net/jtv_user_pictures/b058a3fa-4912-458a-8a88-10c10b2d682d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;upbcolombia;1050;150;13;7;209;false;false;Spanish;8;2020
52;https://static-cdn.jtvnw.net/jtv_user_pictures/6d595b89-3545-4b5d-9b17-52850039590d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;martingonoli;1050;120;16;9;49;false;false;Spanish;8;2020
53;https://static-cdn.jtvnw.net/jtv_user_pictures/058ea4a3-2a37-402b-acb7-4f7ba3649774-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;SportsFireYt;915;135;9;7;71;false;false;Spanish;8;2020
54;https://static-cdn.jtvnw.net/jtv_user_pictures/cddacd30-f504-456e-85bc-17dbdb8aa2e9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;elplantillazo;915;150;9;6;56;false;false;Spanish;8;2020
55;https://static-cdn.jtvnw.net/jtv_user_pictures/f6ed232a-9ae8-478f-85e2-8d12c0a88049-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;fantasmin_22;795;405;4;2;73;false;false;Spanish;8;2020
