n;id;titulo;canal;enlace;fecha;anyo;mes;posicion;cat;deporte
81;UT2NcuMm3t8;GANAMOS EL MAYOR TORNEO DE YOUTUBERS DE FORTNITE #StarsBattleRoyale - TheGrefg;TheGrefg;https://www.youtube.com/watch?v=UT2NcuMm3t8;2019-06-22T21:15:15Z;2019;6;6;20;Fortnite
82;3AxUmGk67HI;DESAFÍO DE LOS LUCKY BLOCKS VS HEROBRINE ??? MINECRAFT LUCKY BLOCKS;Mikecrack;https://www.youtube.com/watch?v=3AxUmGk67HI;2019-06-03T22:11:35Z;2019;6;7;20;Minecraft
83;HH_4Z9wjJpA;WRONG *MYSTERY* DOOR = DIE! (Fortnite);Jelly;https://www.youtube.com/watch?v=HH_4Z9wjJpA;2019-06-12T20:30:00Z;2019;6;8;20;Fortnite
84;0FRDlBilnzo;Master CAT THIEF In Action In Human Fall Flat!;Aphmau;https://www.youtube.com/watch?v=0FRDlBilnzo;2019-06-30T19:01:10Z;2019;6;9;20;Human: Fall Flat
85;YrRZxGPF0i4;?? DESAFÍO DE VOTAR AL CONTRARIO ???? MINECRAFT BUILD BATTLE #29;Mikecrack;https://www.youtube.com/watch?v=YrRZxGPF0i4;2019-07-01T03:24:20Z;2019;6;10;20;Minecraft
86;8aiA6Bb7c-k;Building the Quickest Minecraft Houses I can think of...;Grian;https://www.youtube.com/watch?v=8aiA6Bb7c-k;2019-06-29T19:41:17Z;2019;6;11;20;Minecraft
87;bJhQHynghRk;VEAN A QUIEN ME ENCONTRE EN ESTA PARTIDA DE FREE FIRE *epicidad pura* | TheDonato;TheDonato;https://www.youtube.com/watch?v=bJhQHynghRk;2019-06-04T03:02:29Z;2019;6;12;20;Free Fire
88;LmDP__i_GM8;Clash of Clans: Builder Hall 9 is Here! (June Update 2019);Clash of Clans;https://www.youtube.com/watch?v=LmDP__i_GM8;2019-06-18T13:26:49Z;2019;6;13;20;Clash of Clans
89;qIcTM8WXFjk;Cyberpunk 2077 — Official E3 2019 Cinematic Trailer;Cyberpunk 2077;https://www.youtube.com/watch?v=qIcTM8WXFjk;2019-06-09T20:23:21Z;2019;6;14;20;Cyberpunk 2077
90;9rLQjPbGl2c;50 Things YOU can Make in Minecraft;Mumbo Jumbo;https://www.youtube.com/watch?v=9rLQjPbGl2c;2019-06-29T20:00:00Z;2019;6;15;20;Minecraft
91;cf1NIlx4poQ;New Feature | How to send Full PUBG by SHAREit | Exclusive feature | Official Video;SHAREit;https://www.youtube.com/watch?v=cf1NIlx4poQ;2019-07-27T03:42:37Z;2019;7;1;20;PUBG
92;a6WsqUUdrMM;¡ESCONDITE EXTREMO de camuflaje en MINECRAFT! ?? El escondite en Minecraft con mods;ElTrollino;https://www.youtube.com/watch?v=a6WsqUUdrMM;2019-07-06T22:53:21Z;2019;7;2;20;Minecraft
93;znxBqDGpdnQ;BUILDING A CASTLE In MINECRAFT! (Preparing For War);Jelly;https://www.youtube.com/watch?v=znxBqDGpdnQ;2019-07-23T14:46:45Z;2019;7;3;20;Minecraft
94;xh4hEzQiDPQ;ISLA de LUCKY BLOCKS NOOB vs ISLA de LUCKY BLOCKS PRO ?? MINECRAFT MODS;ElTrollino;https://www.youtube.com/watch?v=xh4hEzQiDPQ;2019-07-10T23:00:30Z;2019;7;4;20;Minecraft
95;NvuVpzuSD8w;"I Got TROLLED In MINECRAFT &amp; TOOK REVENGE!";Jelly;https://www.youtube.com/watch?v=NvuVpzuSD8w;2019-07-25T21:47:14Z;2019;7;5;20;Minecraft
96;o9z7sCWmgEw;GOL al ROBOT PORTERO 100% IMPOSIBLE !! (Robokeeper);ROBERT PG;https://www.youtube.com/watch?v=o9z7sCWmgEw;2019-07-20T14:10:28Z;2019;7;6;20;Robokeeper
97;YrRZxGPF0i4;?? DESAFÍO DE VOTAR AL CONTRARIO ???? MINECRAFT BUILD BATTLE #29;Mikecrack;https://www.youtube.com/watch?v=YrRZxGPF0i4;2019-07-01T03:24:20Z;2019;7;7;20;Minecraft
98;JFFZ2vXs6Og;BREAKING Into AREA 51 In GTA 5! (Secret);Jelly;https://www.youtube.com/watch?v=JFFZ2vXs6Og;2019-07-22T16:42:37Z;2019;7;8;20;GTA 5
99;JaZGORv0ItA;I Found A SECRET TREASURE Island In SKYBLOCK! (Minecraft);Jelly;https://www.youtube.com/watch?v=JaZGORv0ItA;2019-07-31T15:00:02Z;2019;7;9;20;Minecraft
100;aFnaIWoAFu4;REACCIONANDO A MI PRIMERA VEZ LLEGANDO A HEROICO EN FREE FIRE *emotivo* | TheDonato;TheDonato;https://www.youtube.com/watch?v=aFnaIWoAFu4;2019-07-31T01:44:20Z;2019;7;10;20;Free Fire
101;T4WowMVegx8;Playing As A SHARK With GTA 5 MODS! (Brutal);Jelly;https://www.youtube.com/watch?v=T4WowMVegx8;2019-07-19T15:27:50Z;2019;7;11;20;GTA 5
102;fXgq_Coo0-U;Paris Saint-Germain Stars play Brawl Stars;Brawl Stars;https://www.youtube.com/watch?v=fXgq_Coo0-U;2019-07-10T19:12:22Z;2019;7;12;20;Brawl Stars
103;ADvEpHqfuXQ;¡ESCONDITE EN LA MANSIÓN DE LOS COMPAS! ?? EL ESCONDITE MÁS SECRETO DE MINECRAFT;ElTrollino;https://www.youtube.com/watch?v=ADvEpHqfuXQ;2019-07-30T18:05:44Z;2019;7;13;20;Minecraft
104;gEWricFkFlg;Trying Out FACE APP For The FIRST Time!;Jelly;https://www.youtube.com/watch?v=gEWricFkFlg;2019-07-24T17:49:48Z;2019;7;14;20;Face App
105;ljhkE-vXgzs;GUESS The Word To LIVE Or DIE! (Hangman);Jelly;https://www.youtube.com/watch?v=ljhkE-vXgzs;2019-07-21T20:45:03Z;2019;7;15;20;Fortnite
106;kBZlhVqnXP0;¡NO ELIJAS EL AGUJERO EQUIVOCADO EN MINECRAFT! ?? ELTROLLINO, MIKECRACK, TIMBAVK Y RIUS;ElTrollino;https://www.youtube.com/watch?v=kBZlhVqnXP0;2019-08-22T22:45:27Z;2019;8;1;20;Minecraft
107;s6KZQX0JixU;SOLO EL 0,9% SOBREVIVE EN ESTE MUNDO! ?? MINECRAFT MAPA SURVIVAL;ElTrollino;https://www.youtube.com/watch?v=s6KZQX0JixU;2019-08-16T01:27:22Z;2019;8;2;20;Minecraft
108;113AQqiGiKc;CARRERA EN MINI WORLD: ¿QUIEN ES EL MEJOR? ?? MIKECRACK vs TROLLINO vs FLEX vs RAPTOR ????;Mikecrack;https://www.youtube.com/watch?v=113AQqiGiKc;2019-08-25T18:04:45Z;2019;8;3;20;Mini World
