N;titulo;canal;País;Tipo;id;enlace;date;anyo;mes
87;Amazing Bhutan: Free Healthcare, No Homeless People, No Traffic Lights;BRIGHT SIDE;Bhután;Viaje;Au3QBbuyc2M;https://www.youtube.com/watch?v=Au3QBbuyc2M;2019-06-18T15:00:01Z;2019;6
88;Gumbo Queen and Cocaine Donuts!!! New Orleans Wildest Creole Cooking!;Best Ever Food Review Show;Estados Unidos;Comida;BdFJ5k7hxsY;https://www.youtube.com/watch?v=BdFJ5k7hxsY;2019-06-23T12:30:03Z;2019;6
89;Sailing Miami Style - S4:E07;Sailing Doodles;Estados Unidos;Viaje;9wuSvH7VJWQ;https://www.youtube.com/watch?v=9wuSvH7VJWQ;2019-06-22T12:00:47Z;2019;6
90;Day in the Life of a Japanese Car Repair Worker in Toyota;Paolo fromTOKYO;Japón;Evento;4m4UxbDgGhc;https://www.youtube.com/watch?v=4m4UxbDgGhc;2019-06-14T23:59:30Z;2019;6
91;Holland America Line Voted Best Alaska Cruise;Holland America Line;Estados Unidos;Viaje;J2fYGFTuMCA;https://www.youtube.com/watch?v=J2fYGFTuMCA;2019-07-31T16:58:51Z;2019;7
92;Confronting an Indian SCAMMER (How to Buy REAL Cashmere);Karl Rock;India;Evento;aPq0fbnYPOE;https://www.youtube.com/watch?v=aPq0fbnYPOE;2019-07-01T06:30:54Z;2019;7
93;Day in the Life of an Average Japanese Salaryman in Tokyo;Paolo fromTOKYO;Japón;Evento;6tmjXp_AYg0;https://www.youtube.com/watch?v=6tmjXp_AYg0;2019-07-06T00:00:34Z;2019;7
94;1,000 บาท กินชีสได้ 7 วันในเยอรมันมีอยู่จริง;Bearhug;Tailandia;Comida;Ux89PPGyxJQ;https://www.youtube.com/watch?v=Ux89PPGyxJQ;2019-07-13T11:00:04Z;2019;7
95;The Secrets of Antarctica;TRACKS - Travel Documentaries;Antártida;Viaje;sbYX4Lur4Yc;https://www.youtube.com/watch?v=sbYX4Lur4Yc;2019-07-09T20:00:13Z;2019;7
96;25 Best Places to Visit in the USA - Travel Video;touropia;Estados Unidos;Viaje;b7FNvq11CEw;https://www.youtube.com/watch?v=b7FNvq11CEw;2019-07-03T14:12:17Z;2019;7
97;The Best Chocolate Chip Cookie In NYC  -  Best Of The Best;Insider Food;Estados Unidos;Comida;DHVO4KeFCXY;https://www.youtube.com/watch?v=DHVO4KeFCXY;2019-07-20T15:58:48Z;2019;7
